,princeton_positions,o_net_titles,similarity_score
62,Corporate Attorney,Food Preparation Workers,0.0
63,Commercial Partnerships Manager,Commercial Divers,0.408248290463863
64,Account Manager,Bill and Account Collectors,0.35355339059327373
65,Congressional Reporter,Food Preparation Workers,0.0
66,Kindergarten Teacher,"Special Education Teachers, Kindergarten",0.35355339059327373
67,Associate Justice and Mental Health Deputy,Mental Health Counselors,0.4714045207910318
68,Head Course Assistant,Chefs and Head Cooks,0.2886751345948129
69,English Language Instructor,"English Language and Literature Teachers, Postsecondary",0.4714045207910318
70,Segment Director,Food Preparation Workers,0.0
71,Linear Algebra Tutor,Food Preparation Workers,0.0
72,Senior Category Manager,Food Preparation Workers,0.0
73,Staff,Food Preparation Workers,0.0
74,Vice president Health Tech & Channel Sales,Sales Managers,0.2886751345948129
75,Backend Senior Software Engineer,Software Developers,0.35355339059327373
76,Founding School Leader,School Psychologists,0.408248290463863
77,Director of R&D,Cleaners of Vehicles and Equipment,0.3162277660168379
78,Physicist,Food Preparation Workers,0.0
79,Wells Engineer,Food Preparation Workers,0.0
80,Intramural Sports Supervisor,Sports Medicine Physicians,0.3333333333333334
81,Graphic Designer,Graphic Designers,0.4999999999999999
82,Analytics Associate,Food Preparation Workers,0.0
83,Senior Experience Strategist,Food Preparation Workers,0.0
84,IRTA Postdoctoral Research Fellow,Clinical Research Coordinators,0.2886751345948129
85,Investment Associate,Investment Fund Managers,0.408248290463863
86,Co-Director,Food Preparation Workers,0.0
87,Junior Graphic Designer,Graphic Designers,0.408248290463863
88,SAT and TOEFL Tutor,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",0.36380343755449945
89,Senior Project Coordinator,Project Management Specialists,0.3333333333333334
90,Senior Economist,Food Preparation Workers,0.0
91,Officer Recruiter,"Military Officer Special and Tactical Operations Leaders, All Other",0.2357022603955158
92,Appellate Attorney,Food Preparation Workers,0.0
93,Vice President Business Development,Business Continuity Planners,0.2886751345948129
94,Dean of Admissions,Cleaners of Vehicles and Equipment,0.25819888974716115
95,Patent Examiner,Food Preparation Workers,0.0
96,Account Director,Bill and Account Collectors,0.35355339059327373
97,Robotics Lead,Robotics Technicians,0.4999999999999999
98,Energy and Sustainability Specialist,"Energy Engineers, Except Wind and Solar",0.4082482904638631
99,Special Assistant to the State Solicitor,Special Forces,0.2886751345948129
100,Hospital Outreach Specialist,Food Preparation Workers,0.0
101,Senior Software Engineer,Software Developers,0.408248290463863
102,Specialist II,Food Preparation Workers,0.0
103,Refugee Health and Wellness Specialist,Fitness and Wellness Coordinators,0.4472135954999579
104,Information Technology Business Analyst,Information Technology Project Managers,0.5
105,Security Consultant,Security Managers,0.4999999999999999
106,Postdoctoral Research Scientist,Clinical Research Coordinators,0.3333333333333334
107,Professional Golfer,Food Preparation Workers,0.0
108,Founder and Owner,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",0.420084025208403
109,Research Specialist II,Clinical Research Coordinators,0.3333333333333334
110,Faculty Fellow,Food Preparation Workers,0.0
111,Senior Architect,Food Preparation Workers,0.0
112,Senior Team Leader,Team Assemblers,0.408248290463863
113,Quantitative Developer,Financial Quantitative Analysts,0.408248290463863
114,Research Biostatistician,Clinical Research Coordinators,0.408248290463863
115,Graduate Program Coordinator,Food Preparation Workers,0.0
116,Software Developer and Analyst,Software Quality Assurance Analysts and Testers,0.4082482904638631
117,Compliance Analyst,Compliance Managers,0.4999999999999999
118,Structural Project Engineer,Project Management Specialists,0.3333333333333334
119,Senior Android Engineer,Food Preparation Workers,0.0
120,Vitreoretinal Surgery Fellow,Food Preparation Workers,0.0
121,UX Research Associate,Clinical Research Coordinators,0.3333333333333334
122,Football Data Engineer,Data Scientists,0.408248290463863
123,Commercial Strategist,Commercial Divers,0.4999999999999999
124,B2C Sales and Partnerships Manager,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.40451991747794525
125,Enforcement Attorney,Parking Enforcement Workers,0.408248290463863
126,Senior Analytics Engineer,Food Preparation Workers,0.0
127,Senior Data Analyst,Data Scientists,0.408248290463863
128,Fuels Scientist,Food Preparation Workers,0.0
129,Human resources Clerk,Human Resources Specialists,0.6666666666666669
130,Co-Founder,Food Preparation Workers,0.0
131,Middle School Social Studies Teacher,"Special Education Teachers, Middle School",0.39999999999999997
132,Editorial Assistant,Food Preparation Workers,0.0
133,Counselor,Food Preparation Workers,0.0
134,National Security Advisor,Security Managers,0.408248290463863
135,Boyvey Postdoctoral Teaching Fellow,"Teaching Assistants, Postsecondary",0.2886751345948129
136,Academic Technology Specialist,Information Technology Project Managers,0.2886751345948129
137,Graduate Research Fellow,Clinical Research Coordinators,0.3333333333333334
138,Equity Synthetics Quant,Food Preparation Workers,0.0
139,Teaching Assistant,"Teaching Assistants, Postsecondary",0.408248290463863
140,Project Consultant,Project Management Specialists,0.408248290463863
141,Senior Research Analyst,Clinical Research Coordinators,0.3333333333333334
142,Analytics Engineer,Food Preparation Workers,0.0
143,Integration Engineer,Food Preparation Workers,0.0
144,Sales Development Manager,Sales Managers,0.408248290463863
145,GIS Senior Technician,Food Preparation Workers,0.0
146,Head of Department,Chefs and Head Cooks,0.2886751345948129
147,Music Director,Music Therapists,0.4999999999999999
148,Analytics Lead,Food Preparation Workers,0.0
149,Corporate and Securities Associate,"Securities, Commodities, and Financial Services Sales Agents",0.3779644730092272
150,Mobile Solution Architect,"Mobile Heavy Equipment Mechanics, Except Engines",0.2357022603955159
151,Technical Content Writer,Technical Writers,0.408248290463863
152,Consumer Investor,"Family and Consumer Sciences Teachers, Postsecondary",0.2886751345948129
153,PGY4 Resident,Food Preparation Workers,0.0
154,Deputy District Attorney,Food Preparation Workers,0.0
155,Biologist,Food Preparation Workers,0.0
156,Vice Provost,Food Preparation Workers,0.0
157,Designer Technologist,Food Preparation Workers,0.0
158,Sales and Account Manager,Bill and Account Collectors,0.5
159,Pianist,Food Preparation Workers,0.0
160,Government and Public Services Senior Consultant,Government Property Inspectors and Investigators,0.36514837167011077
161,Investment Attorney,Investment Fund Managers,0.408248290463863
162,Information and Referral Specialist,Receptionists and Information Clerks,0.5
163,Ensign,Food Preparation Workers,0.0
164,Virginia Director,Food Preparation Workers,0.0
165,PhD Fellow,Food Preparation Workers,0.0
166,Bioinformatics Specialist,Bioinformatics Technicians,0.4999999999999999
167,Client Strategist,Food Preparation Workers,0.0
168,Peru Bureau Chief,Chief Executives,0.408248290463863
169,Energy Engineer,Energy Auditors,0.4999999999999999
170,Digital Democracy Researcher,Digital Forensics Analysts,0.3333333333333334
171,Medical Residency Associate Program Director,Medical Transcriptionists,0.3162277660168379
172,Senior Product Owner,Demonstrators and Product Promoters,0.2886751345948129
173,Online Sales Manager,Sales Managers,0.408248290463863
174,Senior Program Manager,Food Preparation Workers,0.0
175,Solutions Architect,Food Preparation Workers,0.0
176,Policy and Research Analyst,Computer and Information Research Scientists,0.4472135954999579
177,Social Insurance Specialist,Insurance Underwriters,0.408248290463863
178,Certified Agent,Food Preparation Workers,0.0
179,Postal Historian,Postal Service Clerks,0.408248290463863
180,International Volunteer Coordinator,Food Preparation Workers,0.0
181,Workday Functional Architect,Food Preparation Workers,0.0
182,Policy Lab Manager,Climate Change Policy Analysts,0.2886751345948129
183,Experimentation,Food Preparation Workers,0.0
184,Medical Technologist,Medical Transcriptionists,0.4999999999999999
185,Private Account Manager,"Cooks, Private Household",0.3333333333333334
186,Student Worker,Food Preparation Workers,0.0
187,Neuroscience Sales Specialist,Sales Managers,0.408248290463863
188,Senior Regional Sales Manager,Sales Managers,0.35355339059327373
189,Professional Athlete,Food Preparation Workers,0.0
190,Business Analyst Graduate Intern,Business Continuity Planners,0.2886751345948129
191,Product Line Director,Demonstrators and Product Promoters,0.2886751345948129
192,Accessibility Consultant,Food Preparation Workers,0.0
193,Senior Supervisor Technical Solution Consultant,Technical Writers,0.3162277660168379
194,Watchman Clinical Specialist,Clinical Neuropsychologists,0.408248290463863
195,Artillery Officer,Artillery and Missile Officers,0.35355339059327373
196,Risk Adjustment Analytics Manager,Financial Risk Specialists,0.2886751345948129
197,Chief Medical Resident,Medical Transcriptionists,0.408248290463863
198,Junior Market Intelligence Analyst,Intelligence Analysts,0.35355339059327373
199,Broker Associate,Food Preparation Workers,0.0
200,Senior BIM Manager,Food Preparation Workers,0.0
201,Application Engineer,Food Preparation Workers,0.0
202,Freelance Designer,Food Preparation Workers,0.0
203,Game Writer II,Video Game Designers,0.3333333333333334
204,Judicial Law Clerk,Judicial Law Clerks,0.6666666666666669
205,Doctor of Psychology,"Psychology Teachers, Postsecondary",0.3333333333333334
206,Medical Consultant,Medical Transcriptionists,0.4999999999999999
207,Assistant Brand Manager,Food Preparation Workers,0.0
208,Wealth Strategy Associate,Food Preparation Workers,0.0
209,Head of Content Strategy,Chefs and Head Cooks,0.25
210,Showrunner's Assistant,Food Preparation Workers,0.0
211,Senior Software Engineer III,Software Developers,0.35355339059327373
212,Senior Project Scientist,Project Management Specialists,0.3333333333333334
213,Special Assistant,Special Forces,0.4999999999999999
214,Senior Marketing Data Analyst,Marketing Managers,0.35355339059327373
215,Serials Management Assistant,Management Analysts,0.408248290463863
216,Co-Executive Vice President,Executive Secretaries and Executive Administrative Assistants,0.35355339059327373
217,Technical Product Specialist,Technical Writers,0.408248290463863
218,Group Engineering Manager,Automotive Engineering Technicians,0.3333333333333334
219,Senior Engineering Program Manager,Automotive Engineering Technicians,0.2886751345948129
220,Data Manager,Data Scientists,0.4999999999999999
221,Assistant Site Director,Brownfield Redevelopment Specialists and Site Managers,0.2357022603955159
222,Call Chief Resident,Chief Executives,0.408248290463863
223,Customer Success Manager,Customer Service Representatives,0.3333333333333334
224,Game Programmer,Video Game Designers,0.408248290463863
225,Data Product Associate,Data Scientists,0.408248290463863
226,Senior Enterprise Account Manager,Bill and Account Collectors,0.25
227,SEO Manager,Food Preparation Workers,0.0
228,Estimator,Food Preparation Workers,0.0
229,Senior Client Solutions Associate,Food Preparation Workers,0.0
230,Associate Scientist,Food Preparation Workers,0.0
231,Full Stack Developer,Food Preparation Workers,0.0
232,Co-Founder and Managing Partner,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",0.32539568672798425
233,Corporate Strategy Analyst,Food Preparation Workers,0.0
234,Contributing Editor,Food Preparation Workers,0.0
235,Data Engineer,Data Scientists,0.4999999999999999
236,Systems Security Engineer,Security and Fire Alarm Systems Installers,0.4714045207910318
237,Mental Health Therapist,Mental Health Counselors,0.6666666666666669
238,Regional People Supervisor,Urban and Regional Planners,0.2886751345948129
239,5th Day Department Co-Chair,Food Preparation Workers,0.0
240,Investor,Food Preparation Workers,0.0
241,Assistant Research Scientist,Clinical Research Coordinators,0.3333333333333334
242,Impact Investment Analyst,Investment Fund Managers,0.3333333333333334
243,Senior Data Integration Specialist,Data Scientists,0.35355339059327373
244,Filmmaker,Food Preparation Workers,0.0
245,Consumer Insights Manager,"Family and Consumer Sciences Teachers, Postsecondary",0.2357022603955159
246,Assistant Publishing Director,Food Preparation Workers,0.0
247,Wealth Strategist,Food Preparation Workers,0.0
248,Vehicle Dynamics Engineer,Armored Assault Vehicle Officers,0.2886751345948129
249,Treasury Associate,Food Preparation Workers,0.0
250,Haptics Firmware Engineer,Food Preparation Workers,0.0
251,Associate Director,Food Preparation Workers,0.0
252,Librarian,Food Preparation Workers,0.0
253,Market Analyst,Market Research Analysts and Marketing Specialists,0.2886751345948129
254,Post-Doctoral Research Fellow,Clinical Research Coordinators,0.2886751345948129
255,Post-Doctoral Fellow,Food Preparation Workers,0.0
256,Environmental Scientist V,Environmental Engineers,0.4999999999999999
257,Emergency Veterinarian,Emergency Management Directors,0.408248290463863
258,Pre Doctoral Research Fellow,Clinical Research Coordinators,0.2886751345948129
259,Journalist,Food Preparation Workers,0.0
260,Executive Search and Assessment Professional,Executive Secretaries and Executive Administrative Assistants,0.47434164902525683
261,Senior Engineer,Food Preparation Workers,0.0
262,Agency MBS Trader,Food Preparation Workers,0.0
263,Market Strategist,Market Research Analysts and Marketing Specialists,0.2886751345948129
264,Research & Planning Senior Associate,Clinical Research Coordinators,0.2886751345948129
265,Vice Chair,Food Preparation Workers,0.0
266,Scientific Developer,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.21320071635561041
267,Zoning Analyst,Food Preparation Workers,0.0
268,Flight Dynamics Engineer,Flight Attendants,0.408248290463863
269,Senior Quality Engineer,Quality Control Analysts,0.3333333333333334
270,SENIOR MANAGING ASSOCIATE,Food Preparation Workers,0.0
271,Litigation Case Assistant,Food Preparation Workers,0.0
272,Writing Tutor,Food Preparation Workers,0.0
273,Angel Investor,Food Preparation Workers,0.0
274,Senior Writer,Food Preparation Workers,0.0
275,North America In-Store Lead,Food Preparation Workers,0.0
276,Intern Pastor,Food Preparation Workers,0.0
277,Head Football Coach,Chefs and Head Cooks,0.2886751345948129
278,Senior Quality Control New Product Introduction Analyst,Quality Control Analysts,0.4364357804719848
279,Bread and Viennoiserie Baker,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",0.36380343755449945
280,High Tech Industry Analyst,Food Preparation Workers,0.0
281,Communications Director,"Communications Teachers, Postsecondary",0.408248290463863
282,Head,Chefs and Head Cooks,0.5
283,Quantum Electronics Engineer,Electrical and Electronics Drafters,0.2886751345948129
284,Assistant Corporation Counsel,Food Preparation Workers,0.0
285,Adjunct Clinical Instructor,Clinical Neuropsychologists,0.408248290463863
286,Director of Finance & Strategy,Cleaners of Vehicles and Equipment,0.22360679774997896
287,Chief Bear,Chief Executives,0.4999999999999999
288,Individual and Relationship Counselor,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",0.36380343755449945
289,Community Organizer,Community Health Workers,0.408248290463863
290,Hardware Engineering Manager,Automotive Engineering Technicians,0.3333333333333334
291,Director of Music,Music Therapists,0.408248290463863
292,Epidemiology Surveillance Coordinator,Gambling Surveillance Officers and Gambling Investigators,0.2041241452319315
293,Relationship Manager,Food Preparation Workers,0.0
294,Faculty Member,Food Preparation Workers,0.0
295,Senior Research Specialist,Clinical Research Coordinators,0.3333333333333334
296,Scientific Programmer,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.21320071635561041
297,Co-Chief Investment Officer,Chief Executives,0.35355339059327373
298,Institutional Equity Sales Associate,Sales Managers,0.35355339059327373
299,General Partner,"Dentists, General",0.4999999999999999
300,Visiting Analyst,Food Preparation Workers,0.0
301,Education Assistant,"Education Teachers, Postsecondary",0.408248290463863
302,Noise Analyst,Food Preparation Workers,0.0
303,Independent consultant,Food Preparation Workers,0.0
304,Assistant Research Professor,Clinical Research Coordinators,0.3333333333333334
305,Product Design Leader,Demonstrators and Product Promoters,0.2886751345948129
306,Operations Strategy Manager,Airfield Operations Specialists,0.3333333333333334
307,Motion Designer,Motion Picture Projectionists,0.408248290463863
308,Autonomy Software Engineer,Software Developers,0.408248290463863
309,Mechanical Controls Engineer,Mechanical Drafters,0.408248290463863
310,Product Design Lead,Demonstrators and Product Promoters,0.2886751345948129
311,Product Manager 2,Demonstrators and Product Promoters,0.35355339059327373
312,Lead Merchandiser,Food Preparation Workers,0.0
313,Visiting Scientist,Food Preparation Workers,0.0
314,Urban to Wild Program Manager,Urban and Regional Planners,0.22360679774997896
315,Associate Software Engineer,Software Developers,0.408248290463863
316,Deputy Public Defender II,Public Relations Specialists,0.2886751345948129
317,Legislative Research Fellow,Clinical Research Coordinators,0.3333333333333334
318,Learner,Food Preparation Workers,0.0
319,Public Relations and Influencer Assistant,Public Relations Specialists,0.5163977794943223
320,Senior Air Quality Consultant,Air Traffic Controllers,0.2886751345948129
321,Associate Sustainability Consultant,Sustainability Specialists,0.408248290463863
322,Assistant Office Manager,"Office Clerks, General",0.3333333333333334
323,Graduate Fellow,Food Preparation Workers,0.0
324,Senior Research and Policy Associate,Computer and Information Research Scientists,0.39999999999999997
325,Legal Research Assistant,Clinical Research Coordinators,0.3333333333333334
326,Research Staff Member,Clinical Research Coordinators,0.3333333333333334
327,High School History Teacher,School Psychologists,0.35355339059327373
328,Founding Co-Chair,Food Preparation Workers,0.0
329,Legal Assistant,Paralegals and Legal Assistants,0.35355339059327373
330,Theater Technician,Food Preparation Workers,0.0
331,Director of Special Projects,Special Forces,0.35355339059327373
332,Senior Project Leader,Project Management Specialists,0.3333333333333334
333,English Teacher,"English Language and Literature Teachers, Postsecondary",0.2886751345948129
334,Evidence Based Advocacy Associate,Food Preparation Workers,0.0
335,Graduate Assistant,Food Preparation Workers,0.0
336,Ophthalmology Resident Physician,Physician Assistants,0.408248290463863
337,Script Coverage Consultant,Food Preparation Workers,0.0
338,DC Campaigns Manager,Food Preparation Workers,0.0
339,Data Scientist,Data Scientists,0.4999999999999999
340,Biomedical Research Engineer,Clinical Research Coordinators,0.3333333333333334
341,Graduate Student Researcher,Food Preparation Workers,0.0
342,Investment Banking Analyst,Investment Fund Managers,0.3333333333333334
343,Digital Strategy Senior Manager,Digital Forensics Analysts,0.2886751345948129
344,Development Operations Manager,Airfield Operations Specialists,0.3333333333333334
345,Research Data Scientist,Data Scientists,0.408248290463863
346,Office of the CEO,First-Line Supervisors of Office and Administrative Support Workers,0.3333333333333333
347,Senior Director of Research,Clinical Research Coordinators,0.2886751345948129
348,Allison Fellow,Food Preparation Workers,0.0
349,United States Program Lead,Food Preparation Workers,0.0
350,Executive Coach,Executive Secretaries and Executive Administrative Assistants,0.4999999999999999
351,Senior Human Resources Program Manager,Human Resources Specialists,0.5163977794943223
352,JD-PhD Student,Food Preparation Workers,0.0
353,Protocol Project Manager,Project Management Specialists,0.3333333333333334
354,Pathways Operations Manager,Airfield Operations Specialists,0.3333333333333334
355,Human Rights Officer,Human Resources Specialists,0.3333333333333334
356,Grant Writer,Food Preparation Workers,0.0
357,Named Teaching Fellow,"Teaching Assistants, Postsecondary",0.3333333333333334
358,Honorary Lecturer,Food Preparation Workers,0.0
359,Machine Learning Research Engineer,Sewing Machine Operators,0.2886751345948129
360,Medical Resident,Medical Transcriptionists,0.4999999999999999
361,Medical Student,Medical Transcriptionists,0.4999999999999999
362,Corporate Paralegal,Food Preparation Workers,0.0
363,Reference and Instruction Associate,"Educational Instruction and Library Workers, All Other",0.3779644730092272
364,Scribe Ambassador,Food Preparation Workers,0.0
365,Senior Fullstack Software Engineer,Software Developers,0.35355339059327373
366,Channel Director,Food Preparation Workers,0.0
367,Private Equity Senior Associate,"Cooks, Private Household",0.2886751345948129
368,ESG Senior Specialist,Food Preparation Workers,0.0
369,Senior Development Manager,Training and Development Managers,0.2886751345948129
370,Marketing Operations Specialist,Marketing Managers,0.408248290463863
371,Investment Strategy Group Associate,Investment Fund Managers,0.2886751345948129
372,Senior Communications Strategist,"Communications Teachers, Postsecondary",0.3333333333333334
373,Secretary,Food Preparation Workers,0.0
374,Lead,Food Preparation Workers,0.0
375,Physician Lead,Physician Assistants,0.4999999999999999
376,Clinical Associate,Clinical Neuropsychologists,0.4999999999999999
377,Upward Rotational Analyst,Food Preparation Workers,0.0
378,Copy Editor,Proofreaders and Copy Markers,0.35355339059327373
379,Executive Administrative Assistant Office Manager,Executive Secretaries and Executive Administrative Assistants,0.47434164902525683
380,Associate Clinical Social Worker,Clinical Neuropsychologists,0.35355339059327373
381,Freelance Technical Copywriter,Technical Writers,0.408248290463863
382,Medical Communications Trainee,Medical Transcriptionists,0.408248290463863
383,Institutional Giving Manager,Food Preparation Workers,0.0
384,Event Specialist,"Meeting, Convention, and Event Planners",0.3162277660168379
385,Immersive Technology Artist,Information Technology Project Managers,0.2886751345948129
386,Instructional Design Manager,Instructional Coordinators,0.408248290463863
387,Vice President of Talent,Talent Directors,0.35355339059327373
388,Academic Director,Food Preparation Workers,0.0
389,Private Capital Consultant,"Cooks, Private Household",0.3333333333333334
390,AAAS Science & Technology Policy Fellow,Forensic Science Technicians,0.25819888974716115
391,HHMI Hanna Gray Fellow,Food Preparation Workers,0.0
392,Content Project Manager,Project Management Specialists,0.3333333333333334
393,Senior Associate Director,Food Preparation Workers,0.0
394,Front Desk Manager,"Hotel, Motel, and Resort Desk Clerks",0.2357022603955159
395,Business Manager,Business Continuity Planners,0.408248290463863
396,Senior Developer,Food Preparation Workers,0.0
397,Special Agent,Special Forces,0.4999999999999999
398,Strategy & Operations Associate,Airfield Operations Specialists,0.3333333333333334
399,Clinical Research Associate II,Clinical Research Coordinators,0.5773502691896258
400,Contractor,Food Preparation Workers,0.0
401,Oil painter,"Roustabouts, Oil and Gas",0.35355339059327373
402,GTM Business Manager,Business Continuity Planners,0.3333333333333334
403,Entertainment Associate,"Entertainment and Recreation Managers, Except Gambling",0.2886751345948129
404,Program Lead,Food Preparation Workers,0.0
405,Creative Editorial Director,"Poets, Lyricists and Creative Writers",0.25819888974716115
406,Leader,Food Preparation Workers,0.0
407,Training Officer,Training and Development Managers,0.35355339059327373
408,Staff Research Engineer,Clinical Research Coordinators,0.3333333333333334
409,Fund Manager,Investment Fund Managers,0.408248290463863
410,Curriculum Writer,Food Preparation Workers,0.0
411,Senior Robotics Electrical Engineer,Robotics Technicians,0.35355339059327373
412,Chief Legal Officer,Chief Executives,0.408248290463863
413,Safety Manager,Public Safety Telecommunicators,0.408248290463863
414,Named Postdoctoral Research Associate,Clinical Research Coordinators,0.2886751345948129
415,Co-Head,Chefs and Head Cooks,0.35355339059327373
416,Research,Clinical Research Coordinators,0.5773502691896258
417,Venue Manager,Food Preparation Workers,0.0
418,Modeling and Simulation Engineer,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",0.36380343755449945
419,Enterprise Sales Director,Sales Managers,0.408248290463863
420,Enterprise Security Architect,Security Managers,0.408248290463863
421,Engineering Team Lead,Team Assemblers,0.408248290463863
422,Gynecologist,Food Preparation Workers,0.0
423,Community Lead,Community Health Workers,0.408248290463863
424,Volunteer Crisis Worker,Food Preparation Workers,0.0
425,Managing Partner,Food Preparation Workers,0.0
426,Digital Health Executive,Executive Secretaries and Executive Administrative Assistants,0.408248290463863
427,Principal Partner Architect,Food Preparation Workers,0.0
428,Advanced Business Analyst,Business Continuity Planners,0.3333333333333334
429,Staff Applied Scientist,Food Preparation Workers,0.0
430,Senior Policy Manager,Climate Change Policy Analysts,0.2886751345948129
431,Equipment Design Engineer,Medical Equipment Preparers,0.3333333333333334
432,Senior Paralegal,Food Preparation Workers,0.0
433,Technical Product Marketing Manager,Marketing Managers,0.35355339059327373
434,Senior Associate Attorney,Food Preparation Workers,0.0
435,Institutional Relations Manager,Public Relations Specialists,0.3333333333333334
436,Development Partner,Training and Development Managers,0.35355339059327373
437,Post Doctoral Fellow,Food Preparation Workers,0.0
438,USD Interest Rate Swaps Trader,Food Preparation Workers,0.0
439,Assistant Teaching Professor,"Teaching Assistants, Postsecondary",0.3333333333333334
440,Commercial Underwriter,Commercial Divers,0.4999999999999999
441,Client Services Associate,Administrative Services Managers,0.3333333333333334
442,Public Relations Manager,Public Relations Specialists,0.6666666666666669
443,IT Project Manager,Project Management Specialists,0.3333333333333334
444,Engineering Leadership Development Program,Automotive Engineering Technicians,0.2886751345948129
445,Senior Education Consultant,"Education Teachers, Postsecondary",0.3333333333333334
446,Generative AI Developer,Food Preparation Workers,0.0
447,Principal Product Manager,Demonstrators and Product Promoters,0.2886751345948129
448,Research Project Coordinator,Clinical Research Coordinators,0.3333333333333334
449,Science Teacher,Forensic Science Technicians,0.408248290463863
450,Legal Manager,Paralegals and Legal Assistants,0.35355339059327373
451,Senior Hardware Research Engineer,Clinical Research Coordinators,0.2886751345948129
452,Legislative Director,Food Preparation Workers,0.0
453,Management Consultant,Management Analysts,0.4999999999999999
454,Senior Engagement Manager,Food Preparation Workers,0.0
455,Engineering Specialist,Automotive Engineering Technicians,0.408248290463863
456,Asia ex-Japan Sector Manager,Food Preparation Workers,0.0
457,Early Career Program Manager,"Career/Technical Education Teachers, Postsecondary",0.22360679774997896
458,Human Resources Business Partner,Human Resources Specialists,0.5773502691896258
459,Tax Attorney,Tax Preparers,0.4999999999999999
460,Business Operations,"Business Operations Specialists, All Other",0.6324555320336758
