,princeton_positions,o_net_titles,similarity_score
36,Principal Scientist I,Food Preparation Workers,0.0
37,Inside Sales Representative,Sales Managers,0.303676274428158
38,Physician Assistant,Physician Assistants,0.5863794741967142
39,Client Associate,Food Preparation Workers,0.0
40,Chief Scientific Officer,Chief Executives,0.2655530529075027
41,Lead Analytics Consultant,Food Preparation Workers,0.0
42,Engineering Partner,"Engineering Teachers, Postsecondary",0.371535093918526
43,Malware Analyst,Food Preparation Workers,0.0
44,Computer Vision Engineer,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",0.43751963395535154
45,Senior Business Manager,"Business Teachers, Postsecondary",0.37623195228428624
46,IT Data Analyst,Data Scientists,0.27337828503078726
47,Provost Fellow,Food Preparation Workers,0.0
48,Senior Product Analytics Manager,Demonstrators and Product Promoters,0.17959717788219826
49,Senior User Experience Researcher,Computer User Support Specialists,0.3398105735145299
50,Psychiatry Research,Operations Research Analysts,0.213264910795105
51,Lead Staff,Food Preparation Workers,0.0
52,Optical System Engineer,"Plant and System Operators, All Other",0.290878637725115
53,Guest Experience Lead,Food Preparation Workers,0.0
54,Associate Finance Manager,Food Preparation Workers,0.0
55,Narrative Designer,Food Preparation Workers,0.0
56,R-Programming Tutor,Media Programming Directors,0.4913806212001635
57,Publishing Assistant,Food Preparation Workers,0.0
58,Ph.D. Candidate,Food Preparation Workers,0.0
59,Robotics Engineer,Robotics Technicians,0.7111387226969493
60,Senior Managing Strategy Principal,Food Preparation Workers,0.0
61,Author,Food Preparation Workers,0.0
62,Corporate Attorney,Food Preparation Workers,0.0
63,Commercial Partnerships Manager,Commercial Pilots,0.41825894499717564
64,Account Manager,Bill and Account Collectors,0.3535310751489369
65,Congressional Reporter,Food Preparation Workers,0.0
66,Kindergarten Teacher,"Special Education Teachers, Kindergarten",0.5204893933706476
67,Associate Justice and Mental Health Deputy,Mental Health Counselors,0.5208696497607279
68,Head Course Assistant,Chefs and Head Cooks,0.22049336958629584
69,English Language Instructor,"English Language and Literature Teachers, Postsecondary",0.5351524098357219
70,Segment Director,Food Preparation Workers,0.0
71,Linear Algebra Tutor,Food Preparation Workers,0.0
72,Senior Category Manager,Food Preparation Workers,0.0
73,Staff,Food Preparation Workers,0.0
74,Vice president Health Tech & Channel Sales,Sales Managers,0.22954764371430714
75,Backend Senior Software Engineer,Software Developers,0.25219906323487745
76,Founding School Leader,School Psychologists,0.3278288167496225
77,Director of R&D,First-Line Supervisors of Security Workers,0.22876411361178828
78,Physicist,Food Preparation Workers,0.0
79,Wells Engineer,Food Preparation Workers,0.0
80,Intramural Sports Supervisor,Sports Medicine Physicians,0.31955728295269353
81,Graphic Designer,Graphic Designers,0.5657036461041237
82,Analytics Associate,Food Preparation Workers,0.0
83,Senior Experience Strategist,Food Preparation Workers,0.0
84,IRTA Postdoctoral Research Fellow,Operations Research Analysts,0.15723616846641972
85,Investment Associate,Financial and Investment Analysts,0.42927760245885027
86,Co-Director,Food Preparation Workers,0.0
87,Junior Graphic Designer,Graphic Designers,0.4734578844908043
88,SAT and TOEFL Tutor,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",0.10321687667567242
89,Senior Project Coordinator,Project Management Specialists,0.35558847957187156
90,Senior Economist,Food Preparation Workers,0.0
91,Officer Recruiter,"Military Officer Special and Tactical Operations Leaders, All Other",0.13713449103158418
92,Appellate Attorney,Food Preparation Workers,0.0
93,Vice President Business Development,"Business Teachers, Postsecondary",0.23605546970574398
94,Dean of Admissions,First-Line Supervisors of Security Workers,0.12703704593799045
95,Patent Examiner,Food Preparation Workers,0.0
96,Account Director,Bill and Account Collectors,0.32718933301489467
97,Robotics Lead,Robotics Technicians,0.6814103835090078
98,Energy and Sustainability Specialist,Sustainability Specialists,0.49696702960189676
99,Special Assistant to the State Solicitor,Special Forces,0.20438561129670252
100,Hospital Outreach Specialist,Food Preparation Workers,0.0
101,Senior Software Engineer,Software Developers,0.3643804869624574
102,Specialist II,Food Preparation Workers,0.0
103,Refugee Health and Wellness Specialist,Fitness and Wellness Coordinators,0.35239975854135425
104,Information Technology Business Analyst,Information Technology Project Managers,0.6186770801085066
105,Security Consultant,Security Managers,0.5955887810910523
106,Postdoctoral Research Scientist,Operations Research Analysts,0.21415634714307077
107,Professional Golfer,Food Preparation Workers,0.0
108,Founder and Owner,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",0.14121421537436288
109,Research Specialist II,Operations Research Analysts,0.23094117933424685
110,Faculty Fellow,Food Preparation Workers,0.0
111,Senior Architect,Food Preparation Workers,0.0
112,Senior Team Leader,Team Assemblers,0.4232455762351186
113,Quantitative Developer,Financial Quantitative Analysts,0.4593785823477017
114,Research Biostatistician,Operations Research Analysts,0.20946988320642335
115,Graduate Program Coordinator,Food Preparation Workers,0.0
116,Software Developer and Analyst,Software Developers,0.2855828287683357
117,Compliance Analyst,Compliance Managers,0.6413747911079479
118,Structural Project Engineer,Structural Iron and Steel Workers,0.3340284876412096
119,Senior Android Engineer,Food Preparation Workers,0.0
120,Vitreoretinal Surgery Fellow,Food Preparation Workers,0.0
121,UX Research Associate,Operations Research Analysts,0.21300107921036382
122,Football Data Engineer,Data Scientists,0.27222187367963985
123,Commercial Strategist,Commercial Pilots,0.46038769905217597
124,B2C Sales and Partnerships Manager,Sales Managers,0.27543696734830614
125,Enforcement Attorney,Parking Enforcement Workers,0.5051729381326817
126,Senior Analytics Engineer,Food Preparation Workers,0.0
127,Senior Data Analyst,Data Scientists,0.3902010464891463
128,Fuels Scientist,Food Preparation Workers,0.0
129,Human resources Clerk,Human Resources Managers,0.666072726075458
130,Co-Founder,Food Preparation Workers,0.0
131,Middle School Social Studies Teacher,"Special Education Teachers, Middle School",0.44647536181440706
132,Editorial Assistant,Food Preparation Workers,0.0
133,Counselor,Food Preparation Workers,0.0
134,National Security Advisor,Security Managers,0.41737934819822436
135,Boyvey Postdoctoral Teaching Fellow,"Teaching Assistants, Postsecondary",0.2768309634693472
136,Academic Technology Specialist,Information Technology Project Managers,0.303243388697269
137,Graduate Research Fellow,Operations Research Analysts,0.22007669580753222
138,Equity Synthetics Quant,Food Preparation Workers,0.0
139,Teaching Assistant,"Teaching Assistants, Postsecondary",0.4824825665096919
140,Project Consultant,Project Management Specialists,0.39566832028257215
141,Senior Research Analyst,Operations Research Analysts,0.28150457927899897
142,Analytics Engineer,Food Preparation Workers,0.0
143,Integration Engineer,Food Preparation Workers,0.0
144,Sales Development Manager,Sales Managers,0.4584628593499114
145,GIS Senior Technician,Food Preparation Workers,0.0
146,Head of Department,Chefs and Head Cooks,0.22133130609744867
147,Music Director,Music Therapists,0.5844975998891374
148,Analytics Lead,Food Preparation Workers,0.0
149,Corporate and Securities Associate,"Securities, Commodities, and Financial Services Sales Agents",0.400377184999908
150,Mobile Solution Architect,Manufactured Building and Mobile Home Installers,0.2648412018992349
151,Technical Content Writer,Technical Writers,0.30788636907600414
152,Consumer Investor,"Family and Consumer Sciences Teachers, Postsecondary",0.3499985461371748
153,PGY4 Resident,Food Preparation Workers,0.0
154,Deputy District Attorney,Food Preparation Workers,0.0
155,Biologist,Food Preparation Workers,0.0
156,Vice Provost,Food Preparation Workers,0.0
157,Designer Technologist,Food Preparation Workers,0.0
158,Sales and Account Manager,Sales Managers,0.40259325706184607
159,Pianist,Food Preparation Workers,0.0
160,Government and Public Services Senior Consultant,Government Property Inspectors and Investigators,0.3319445220430873
161,Investment Attorney,Financial and Investment Analysts,0.3556775477078817
162,Information and Referral Specialist,Computer and Information Research Scientists,0.3359922726229606
163,Ensign,Food Preparation Workers,0.0
164,Virginia Director,Food Preparation Workers,0.0
165,PhD Fellow,Food Preparation Workers,0.0
166,Bioinformatics Specialist,Bioinformatics Technicians,0.6805628819941739
167,Client Strategist,Food Preparation Workers,0.0
168,Peru Bureau Chief,Chief Executives,0.1914313022400444
169,Energy Engineer,Energy Auditors,0.5343868786986764
170,Digital Democracy Researcher,Digital Forensics Analysts,0.23295674560220414
171,Medical Residency Associate Program Director,Medical Assistants,0.3051781649408366
172,Senior Product Owner,Demonstrators and Product Promoters,0.17523746912200264
173,Online Sales Manager,Online Merchants,0.5270609167175293
174,Senior Program Manager,Food Preparation Workers,0.0
175,Solutions Architect,Food Preparation Workers,0.0
176,Policy and Research Analyst,Insurance Claims and Policy Processing Clerks,0.29679642404635376
177,Social Insurance Specialist,Insurance Sales Agents,0.4306537001913929
178,Certified Agent,Food Preparation Workers,0.0
179,Postal Historian,Postal Service Clerks,0.4564369975778161
180,International Volunteer Coordinator,Food Preparation Workers,0.0
181,Workday Functional Architect,Food Preparation Workers,0.0
182,Policy Lab Manager,Climate Change Policy Analysts,0.21209249330826863
183,Experimentation,Food Preparation Workers,0.0
184,Medical Technologist,Medical Assistants,0.411259424606798
185,Private Account Manager,Private Detectives and Investigators,0.34679022540111815
186,Student Worker,Food Preparation Workers,0.0
187,Neuroscience Sales Specialist,Sales Managers,0.3166145534413643
188,Senior Regional Sales Manager,Sales Managers,0.37484708129806343
189,Professional Athlete,Food Preparation Workers,0.0
190,Business Analyst Graduate Intern,"Business Teachers, Postsecondary",0.23738657090842025
191,Product Line Director,Telecommunications Line Installers and Repairers,0.300439500835475
192,Accessibility Consultant,Food Preparation Workers,0.0
193,Senior Supervisor Technical Solution Consultant,Technical Writers,0.2438369040518181
194,Watchman Clinical Specialist,Clinical Data Managers,0.28421885565350097
195,Artillery Officer,Artillery and Missile Officers,0.5081329669807857
196,Risk Adjustment Analytics Manager,Financial Risk Specialists,0.3257307602350367
197,Chief Medical Resident,Medical Assistants,0.4058371899329129
198,Junior Market Intelligence Analyst,Intelligence Analysts,0.39933919495117076
199,Broker Associate,Food Preparation Workers,0.0
200,Senior BIM Manager,Food Preparation Workers,0.0
201,Application Engineer,Food Preparation Workers,0.0
202,Freelance Designer,Food Preparation Workers,0.0
203,Game Writer II,Video Game Designers,0.4117166379536435
204,Judicial Law Clerk,Judicial Law Clerks,0.7099389088998027
205,Doctor of Psychology,"Psychology Teachers, Postsecondary",0.4544799207622878
206,Medical Consultant,Medical Assistants,0.5128405667181157
207,Assistant Brand Manager,Food Preparation Workers,0.0
208,Wealth Strategy Associate,Food Preparation Workers,0.0
209,Head of Content Strategy,Chefs and Head Cooks,0.22137112012118157
210,Showrunner's Assistant,Food Preparation Workers,0.0
211,Senior Software Engineer III,Software Developers,0.27163955634722153
212,Senior Project Scientist,Project Management Specialists,0.34918606929824975
213,Special Assistant,Special Forces,0.4668111565217145
214,Senior Marketing Data Analyst,Marketing Managers,0.3846381716500447
215,Serials Management Assistant,Management Analysts,0.3573068451911564
216,Co-Executive Vice President,Executive Secretaries and Executive Administrative Assistants,0.28181390327826106
217,Technical Product Specialist,Technical Writers,0.3563788275733482
218,Group Engineering Manager,"Engineering Teachers, Postsecondary",0.32525251621819645
219,Senior Engineering Program Manager,"Engineering Teachers, Postsecondary",0.34392275079134027
220,Data Manager,Data Scientists,0.4775986641785848
221,Assistant Site Director,Brownfield Redevelopment Specialists and Site Managers,0.32782151620391903
222,Call Chief Resident,Chief Executives,0.2244262793090296
223,Customer Success Manager,Customer Service Representatives,0.37805637169313405
224,Game Programmer,Video Game Designers,0.4021418177920734
225,Data Product Associate,Data Scientists,0.36091612989884747
226,Senior Enterprise Account Manager,Bill and Account Collectors,0.2273871677143631
227,SEO Manager,Food Preparation Workers,0.0
228,Estimator,Food Preparation Workers,0.0
229,Senior Client Solutions Associate,Food Preparation Workers,0.0
230,Associate Scientist,Food Preparation Workers,0.0
231,Full Stack Developer,Food Preparation Workers,0.0
232,Co-Founder and Managing Partner,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",0.1121461909280043
233,Corporate Strategy Analyst,Food Preparation Workers,0.0
234,Contributing Editor,Food Preparation Workers,0.0
235,Data Engineer,Data Scientists,0.46113579846107394
236,Systems Security Engineer,Security Managers,0.5029417080531767
237,Mental Health Therapist,Mental Health Counselors,0.6365023553920881
238,Regional People Supervisor,Urban and Regional Planners,0.2621766647096128
239,5th Day Department Co-Chair,Food Preparation Workers,0.0
240,Investor,Food Preparation Workers,0.0
241,Assistant Research Scientist,Operations Research Analysts,0.2424573768895137
242,Impact Investment Analyst,Financial and Investment Analysts,0.2977755362655727
243,Senior Data Integration Specialist,Data Scientists,0.2651076258234989
244,Filmmaker,Food Preparation Workers,0.0
245,Consumer Insights Manager,"Family and Consumer Sciences Teachers, Postsecondary",0.3362105314507885
246,Assistant Publishing Director,Food Preparation Workers,0.0
247,Wealth Strategist,Food Preparation Workers,0.0
248,Vehicle Dynamics Engineer,Recreational Vehicle Service Technicians,0.34151631311384206
249,Treasury Associate,Food Preparation Workers,0.0
250,Haptics Firmware Engineer,Food Preparation Workers,0.0
251,Associate Director,Food Preparation Workers,0.0
252,Librarian,Food Preparation Workers,0.0
253,Market Analyst,Market Research Analysts and Marketing Specialists,0.4084016484132464
254,Post-Doctoral Research Fellow,Operations Research Analysts,0.1637191187339331
255,Post-Doctoral Fellow,Food Preparation Workers,0.0
256,Environmental Scientist V,Environmental Engineers,0.5955857037470134
257,Emergency Veterinarian,Emergency Medical Technicians,0.45967272515618296
258,Pre Doctoral Research Fellow,Operations Research Analysts,0.1508309423014587
259,Journalist,Food Preparation Workers,0.0
260,Executive Search and Assessment Professional,Search Marketing Strategists,0.3464336798870493
261,Senior Engineer,Food Preparation Workers,0.0
262,Agency MBS Trader,Food Preparation Workers,0.0
263,Market Strategist,Market Research Analysts and Marketing Specialists,0.34727617047043086
264,Research & Planning Senior Associate,"Production, Planning, and Expediting Clerks",0.3230440318479275
265,Vice Chair,Food Preparation Workers,0.0
266,Scientific Developer,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.2745180982004842
267,Zoning Analyst,Food Preparation Workers,0.0
268,Flight Dynamics Engineer,Flight Attendants,0.4738320394508286
269,Senior Quality Engineer,Quality Control Analysts,0.439994334585909
270,SENIOR MANAGING ASSOCIATE,Food Preparation Workers,0.0
271,Litigation Case Assistant,Food Preparation Workers,0.0
272,Writing Tutor,Food Preparation Workers,0.0
273,Angel Investor,Food Preparation Workers,0.0
274,Senior Writer,Food Preparation Workers,0.0
275,North America In-Store Lead,Food Preparation Workers,0.0
276,Intern Pastor,Food Preparation Workers,0.0
277,Head Football Coach,Chefs and Head Cooks,0.2020080756631484
278,Senior Quality Control New Product Introduction Analyst,Quality Control Analysts,0.46617903029405977
279,Bread and Viennoiserie Baker,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",0.09226685176126123
280,High Tech Industry Analyst,Food Preparation Workers,0.0
281,Communications Director,"Communications Teachers, Postsecondary",0.4618132623256672
282,Head,Chefs and Head Cooks,0.4196444601046854
283,Quantum Electronics Engineer,"Electronics Engineers, Except Computer",0.3749461521531034
284,Assistant Corporation Counsel,Food Preparation Workers,0.0
285,Adjunct Clinical Instructor,Clinical Data Managers,0.3016821534084671
286,Director of Finance & Strategy,First-Line Supervisors of Security Workers,0.140946278146113
287,Chief Bear,Chief Executives,0.25302112391844905
288,Individual and Relationship Counselor,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",0.10555917545618825
289,Community Organizer,Community Health Workers,0.38415281078191876
290,Hardware Engineering Manager,Computer Hardware Engineers,0.47144146030374734
291,Director of Music,Music Therapists,0.510088067817443
292,Epidemiology Surveillance Coordinator,Gambling Surveillance Officers and Gambling Investigators,0.2768140309725271
293,Relationship Manager,Food Preparation Workers,0.0
294,Faculty Member,Food Preparation Workers,0.0
295,Senior Research Specialist,Operations Research Analysts,0.2622578155859152
296,Scientific Programmer,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.22525719977980466
297,Co-Chief Investment Officer,Financial and Investment Analysts,0.268337009590318
298,Institutional Equity Sales Associate,Sales Managers,0.30611190516420606
299,General Partner,General and Operations Managers,0.4254042570551627
300,Visiting Analyst,Food Preparation Workers,0.0
301,Education Assistant,"Education Teachers, Postsecondary",0.47228637385553396
302,Noise Analyst,Food Preparation Workers,0.0
303,Independent consultant,Food Preparation Workers,0.0
304,Assistant Research Professor,Operations Research Analysts,0.2132329427191367
305,Product Design Leader,Demonstrators and Product Promoters,0.1673932643555951
306,Operations Strategy Manager,Operations Research Analysts,0.32981805933633235
307,Motion Designer,Motion Picture Projectionists,0.4444362379175076
308,Autonomy Software Engineer,Software Developers,0.2553396568475021
309,Mechanical Controls Engineer,Mechanical Engineers,0.4304022192267283
310,Product Design Lead,Demonstrators and Product Promoters,0.18616417786914077
311,Product Manager 2,Demonstrators and Product Promoters,0.281700243350653
312,Lead Merchandiser,Food Preparation Workers,0.0
313,Visiting Scientist,Food Preparation Workers,0.0
314,Urban to Wild Program Manager,Urban and Regional Planners,0.32637595570967065
315,Associate Software Engineer,Software Developers,0.3572712192675355
316,Deputy Public Defender II,Public Relations Managers,0.28217426729839257
317,Legislative Research Fellow,Operations Research Analysts,0.19707458853263526
318,Learner,Food Preparation Workers,0.0
319,Public Relations and Influencer Assistant,Public Relations Managers,0.5688606684245765
320,Senior Air Quality Consultant,Air Crew Officers,0.37355992190801807
321,Associate Sustainability Consultant,Sustainability Specialists,0.5986656742506208
322,Assistant Office Manager,"Office Clerks, General",0.48338619023231955
323,Graduate Fellow,Food Preparation Workers,0.0
324,Senior Research and Policy Associate,Insurance Claims and Policy Processing Clerks,0.2800686591487572
325,Legal Research Assistant,"Legal Support Workers, All Other",0.35269876939043976
326,Research Staff Member,Operations Research Analysts,0.20148440230552922
327,High School History Teacher,"History Teachers, Postsecondary",0.39685703571714886
328,Founding Co-Chair,Food Preparation Workers,0.0
329,Legal Assistant,"Legal Support Workers, All Other",0.40355932036760256
330,Theater Technician,Food Preparation Workers,0.0
331,Director of Special Projects,Special Forces,0.3061648697258047
332,Senior Project Leader,Project Management Specialists,0.32123435048516685
333,English Teacher,"English Language and Literature Teachers, Postsecondary",0.3485655439532998
334,Evidence Based Advocacy Associate,Food Preparation Workers,0.0
335,Graduate Assistant,Food Preparation Workers,0.0
336,Ophthalmology Resident Physician,Physician Assistants,0.37651014862475507
337,Script Coverage Consultant,Food Preparation Workers,0.0
338,DC Campaigns Manager,Food Preparation Workers,0.0
339,Data Scientist,Data Scientists,0.3993384351808702
340,Biomedical Research Engineer,Bioengineers and Biomedical Engineers,0.49360029822631823
341,Graduate Student Researcher,Food Preparation Workers,0.0
342,Investment Banking Analyst,Financial and Investment Analysts,0.2977755362655727
343,Digital Strategy Senior Manager,Digital Forensics Analysts,0.3019358672570986
344,Development Operations Manager,Operations Research Analysts,0.3363230133726845
345,Research Data Scientist,Data Scientists,0.3420592040855798
346,Office of the CEO,"Office Clerks, General",0.32573441218334476
347,Senior Director of Research,Operations Research Analysts,0.23090191173109878
348,Allison Fellow,Food Preparation Workers,0.0
349,United States Program Lead,Food Preparation Workers,0.0
350,Executive Coach,Executive Secretaries and Executive Administrative Assistants,0.4116955311183665
351,Senior Human Resources Program Manager,Human Resources Managers,0.6897755241170827
352,JD-PhD Student,Food Preparation Workers,0.0
353,Protocol Project Manager,Project Management Specialists,0.25847356623878176
354,Pathways Operations Manager,Operations Research Analysts,0.23964343507551208
355,Human Rights Officer,Human Resources Managers,0.316936337199992
356,Grant Writer,Food Preparation Workers,0.0
357,Named Teaching Fellow,"Teaching Assistants, Postsecondary",0.3533546108143975
358,Honorary Lecturer,Food Preparation Workers,0.0
359,Machine Learning Research Engineer,Sewing Machine Operators,0.2569037513773763
360,Medical Resident,Medical Assistants,0.4864701498572363
361,Medical Student,Medical Assistants,0.4864701498572363
362,Corporate Paralegal,Food Preparation Workers,0.0
363,Reference and Instruction Associate,"Educational Instruction and Library Workers, All Other",0.36572072075495266
364,Scribe Ambassador,Food Preparation Workers,0.0
365,Senior Fullstack Software Engineer,Software Developers,0.2336314687157818
366,Channel Director,Food Preparation Workers,0.0
367,Private Equity Senior Associate,Private Detectives and Investigators,0.30942741698982035
368,ESG Senior Specialist,Food Preparation Workers,0.0
369,Senior Development Manager,Training and Development Managers,0.3122912818768262
370,Marketing Operations Specialist,Marketing Managers,0.39505978759597027
371,Investment Strategy Group Associate,Financial and Investment Analysts,0.2700728243164788
372,Senior Communications Strategist,"Communications Teachers, Postsecondary",0.3636089687889835
373,Secretary,Food Preparation Workers,0.0
374,Lead,Food Preparation Workers,0.0
375,Physician Lead,Physician Assistants,0.5813990918322224
376,Clinical Associate,Clinical Data Managers,0.49436511752708134
377,Upward Rotational Analyst,Food Preparation Workers,0.0
378,Copy Editor,Proofreaders and Copy Markers,0.45895644349977405
379,Executive Administrative Assistant Office Manager,"Office and Administrative Support Workers, All Other",0.5030196345518543
380,Associate Clinical Social Worker,Healthcare Social Workers,0.2990366389013253
381,Freelance Technical Copywriter,Technical Writers,0.27108874184642384
382,Medical Communications Trainee,Medical Assistants,0.3521062810965311
383,Institutional Giving Manager,Food Preparation Workers,0.0
384,Event Specialist,"Meeting, Convention, and Event Planners",0.40035133775539156
385,Immersive Technology Artist,Information Technology Project Managers,0.25482521362241667
386,Instructional Design Manager,Instructional Coordinators,0.5023561053643149
387,Vice President of Talent,Talent Directors,0.42910328370960654
388,Academic Director,Food Preparation Workers,0.0
389,Private Capital Consultant,Private Detectives and Investigators,0.29840686930458243
390,AAAS Science & Technology Policy Fellow,Information Technology Project Managers,0.2354992294714468
391,HHMI Hanna Gray Fellow,Food Preparation Workers,0.0
392,Content Project Manager,Project Management Specialists,0.3264611527832597
393,Senior Associate Director,Food Preparation Workers,0.0
394,Front Desk Manager,"Hotel, Motel, and Resort Desk Clerks",0.28036658566841355
395,Business Manager,"Business Teachers, Postsecondary",0.4334366210705131
396,Senior Developer,Food Preparation Workers,0.0
397,Special Agent,Special Forces,0.38168051878931053
398,Strategy & Operations Associate,Operations Research Analysts,0.3223735027362473
399,Clinical Research Associate II,Clinical Research Coordinators,0.4808035041184829
400,Contractor,Food Preparation Workers,0.0
401,Oil painter,"Roustabouts, Oil and Gas",0.35186262452938066
402,GTM Business Manager,"Business Teachers, Postsecondary",0.24857280166266002
403,Entertainment Associate,"Entertainment and Recreation Managers, Except Gambling",0.4484597623076455
404,Program Lead,Food Preparation Workers,0.0
405,Creative Editorial Director,"Poets, Lyricists and Creative Writers",0.2597890358751137
406,Leader,Food Preparation Workers,0.0
407,Training Officer,Training and Development Managers,0.5725629091499039
408,Staff Research Engineer,Operations Research Analysts,0.249227695372937
409,Fund Manager,Investment Fund Managers,0.6778779258110088
410,Curriculum Writer,Food Preparation Workers,0.0
411,Senior Robotics Electrical Engineer,Robotics Technicians,0.5105534170770708
412,Chief Legal Officer,"Legal Support Workers, All Other",0.32147378055801706
413,Safety Manager,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",0.5496843207280512
414,Named Postdoctoral Research Associate,Operations Research Analysts,0.17715032169065745
415,Co-Head,Chefs and Head Cooks,0.2873233627043581
416,Research,Operations Research Analysts,0.4520241791196339
417,Venue Manager,Food Preparation Workers,0.0
418,Modeling and Simulation Engineer,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",0.1151479210298483
419,Enterprise Sales Director,Sales Managers,0.37168200850157007
420,Enterprise Security Architect,Security Managers,0.4197566579449591
421,Engineering Team Lead,Team Assemblers,0.42380555591994096
422,Gynecologist,Food Preparation Workers,0.0
423,Community Lead,Community Health Workers,0.5189620365042233
424,Volunteer Crisis Worker,Food Preparation Workers,0.0
425,Managing Partner,Food Preparation Workers,0.0
426,Digital Health Executive,Community Health Workers,0.352498387923279
427,Principal Partner Architect,Food Preparation Workers,0.0
428,Advanced Business Analyst,Advanced Practice Psychiatric Nurses,0.3517533891960595
429,Staff Applied Scientist,Food Preparation Workers,0.0
430,Senior Policy Manager,Climate Change Policy Analysts,0.2978181153658815
431,Equipment Design Engineer,Medical Equipment Repairers,0.3942374717778464
432,Senior Paralegal,Food Preparation Workers,0.0
433,Technical Product Marketing Manager,Marketing Managers,0.3583934916492086
434,Senior Associate Attorney,Food Preparation Workers,0.0
435,Institutional Relations Manager,Public Relations Managers,0.3998056658601323
436,Development Partner,Training and Development Managers,0.27417812911976813
437,Post Doctoral Fellow,Food Preparation Workers,0.0
438,USD Interest Rate Swaps Trader,Food Preparation Workers,0.0
439,Assistant Teaching Professor,"Teaching Assistants, Postsecondary",0.36401292891917336
440,Commercial Underwriter,Commercial Pilots,0.41388390071952214
441,Client Services Associate,Administrative Services Managers,0.37662678155216606
442,Public Relations Manager,Public Relations Managers,0.8046246716746382
443,IT Project Manager,Project Management Specialists,0.27726547479529373
444,Engineering Leadership Development Program,"Engineering Teachers, Postsecondary",0.2597092588802143
445,Senior Education Consultant,"Education Teachers, Postsecondary",0.41241836520319974
446,Generative AI Developer,Food Preparation Workers,0.0
447,Principal Product Manager,Demonstrators and Product Promoters,0.202675443003787
448,Research Project Coordinator,Project Management Specialists,0.33988857669945266
449,Science Teacher,Food Science Technicians,0.38884558094175725
450,Legal Manager,"Legal Support Workers, All Other",0.43178610564482106
451,Senior Hardware Research Engineer,Computer Hardware Engineers,0.46609943291172207
452,Legislative Director,Food Preparation Workers,0.0
453,Management Consultant,Management Analysts,0.5243636248306205
454,Senior Engagement Manager,Food Preparation Workers,0.0
455,Engineering Specialist,"Engineering Teachers, Postsecondary",0.41567913904553555
456,Asia ex-Japan Sector Manager,Food Preparation Workers,0.0
457,Early Career Program Manager,"Career/Technical Education Teachers, Postsecondary",0.2939720001050828
