,Target Job Title,Matched Job Title,Similarity Score
74,Vice president Health Tech & Channel Sales,Health Information Technologists and Medical Registrars,0.41204822
75,Backend Senior Software Engineer,Software Developers,0.6108707
76,Founding School Leader,"Education Administrators, Kindergarten through Secondary",0.48137212
77,Director of R&D,Producers and Directors,0.51767004
78,Physicist,Physicists,0.9319675
79,Wells Engineer,Petroleum Engineers,0.67160237
80,Intramural Sports Supervisor,Athletic Trainers,0.54125786
81,Graphic Designer,Graphic Designers,0.95361495
82,Analytics Associate,Business Intelligence Analysts,0.50253624
83,Senior Experience Strategist,"Education Administrators, All Other",0.4823261
84,IRTA Postdoctoral Research Fellow,Human Resources Specialists,0.40821853
85,Investment Associate,Financial and Investment Analysts,0.6210052
86,Co-Director,Art Directors,0.65392494
87,Junior Graphic Designer,Graphic Designers,0.795632
88,SAT and TOEFL Tutor,Tutors,0.63595104
89,Senior Project Coordinator,Project Management Specialists,0.78786933
90,Senior Economist,Economists,0.69901
91,Officer Recruiter,Infantry Officers,0.72680163
92,Appellate Attorney,Lawyers,0.68429226
93,Vice President Business Development,Training and Development Specialists,0.4409617
94,Dean of Admissions,"Education Administrators, Postsecondary",0.5059843
95,Patent Examiner,Financial Examiners,0.65458465
96,Account Director,New Accounts Clerks,0.5325723
97,Robotics Lead,Robotics Technicians,0.5366359
98,Energy and Sustainability Specialist,Sustainability Specialists,0.8578788
99,Special Assistant to the State Solicitor,Legal Secretaries and Administrative Assistants,0.6325003
100,Hospital Outreach Specialist,Hospitalists,0.64807355
101,Senior Software Engineer,Software Developers,0.6795852
102,Specialist II,Regulatory Affairs Specialists,0.54498595
103,Refugee Health and Wellness Specialist,Health Education Specialists,0.50980985
104,Information Technology Business Analyst,Business Intelligence Analysts,0.7094451
105,Security Consultant,Security Management Specialists,0.82066727
106,Postdoctoral Research Scientist,Archivists,0.5136228
107,Professional Golfer,Sports Medicine Physicians,0.47798586
108,Founder and Owner,Chief Executives,0.45674008
109,Research Specialist II,Clinical Research Coordinators,0.59370923
110,Faculty Fellow,Electricians,0.57353324
111,Senior Architect,Landscape Architects,0.62896115
112,Senior Team Leader,Chief Executives,0.52366394
113,Quantitative Developer,Software Developers,0.61660445
114,Research Biostatistician,Biostatisticians,0.8398881
115,Graduate Program Coordinator,Instructional Coordinators,0.75849724
116,Software Developer and Analyst,Software Developers,0.78564525
117,Compliance Analyst,Compliance Officers,0.80495214
118,Structural Project Engineer,Materials Engineers,0.65623313
119,Senior Android Engineer,"Electronics Engineers, Except Computer",0.46445286
120,Vitreoretinal Surgery Fellow,"Surgeons, All Other",0.465112
121,UX Research Associate,Clinical Research Coordinators,0.530299
122,Football Data Engineer,Data Scientists,0.541167
123,Commercial Strategist,Search Marketing Strategists,0.6236759
124,B2C Sales and Partnerships Manager,Sales Managers,0.547645
125,Enforcement Attorney,Compliance Officers,0.6757743
126,Senior Analytics Engineer,Management Analysts,0.5334701
127,Senior Data Analyst,Data Scientists,0.66100204
128,Fuels Scientist,Fuel Cell Engineers,0.6456544
129,Human resources Clerk,Human Resources Specialists,0.7764888
130,Co-Founder,Chief Executives,0.43798327
131,Middle School Social Studies Teacher,"Social Sciences Teachers, Postsecondary, All Other",0.6758122
132,Editorial Assistant,Editors,0.66491604
133,Counselor,"Counselors, All Other",0.913031
134,National Security Advisor,Security Management Specialists,0.6896461
135,Boyvey Postdoctoral Teaching Fellow,Training and Development Specialists,0.4111011
136,Academic Technology Specialist,Computer and Information Research Scientists,0.6459695
137,Graduate Research Fellow,Computer and Information Research Scientists,0.50610244
138,Equity Synthetics Quant,Financial Quantitative Analysts,0.35557166
139,Teaching Assistant,"Teaching Assistants, All Other",0.86772937
140,Project Consultant,Project Management Specialists,0.8206831
141,Senior Research Analyst,Management Analysts,0.6899097
142,Analytics Engineer,Business Intelligence Analysts,0.59408414
143,Integration Engineer,Manufacturing Engineers,0.63006395
144,Sales Development Manager,Sales Managers,0.88009536
145,GIS Senior Technician,Nuclear Technicians,0.63423574
146,Head of Department,Legal Secretaries and Administrative Assistants,0.5385609
147,Music Director,Music Directors and Composers,0.836775
148,Analytics Lead,Statisticians,0.4419115
149,Corporate and Securities Associate,"Business Operations Specialists, All Other",0.59503376
150,Mobile Solution Architect,Architectural and Engineering Managers,0.51006806
151,Technical Content Writer,Technical Writers,0.81591886
152,Consumer Investor,"Buyers and Purchasing Agents, Farm Products",0.51671636
153,PGY4 Resident,Probation Officers and Correctional Treatment Specialists,0.32174993
154,Deputy District Attorney,Judicial Law Clerks,0.5359197
155,Biologist,Biologists,0.90405357
156,Vice Provost,"Education Administrators, All Other",0.49677598
157,Designer Technologist,Commercial and Industrial Designers,0.7296035
158,Sales and Account Manager,Sales Managers,0.7468061
159,Pianist,Musicians and Singers,0.5575817
160,Government and Public Services Senior Consultant,Public Relations Specialists,0.6257729
161,Investment Attorney,Financial and Investment Analysts,0.65011847
162,Information and Referral Specialist,Health Information Technologists and Medical Registrars,0.5591556
163,Ensign,Special Forces Officers,0.5055425
164,Virginia Director,Talent Directors,0.5393381
165,PhD Fellow,Physicists,0.49522543
166,Bioinformatics Specialist,Bioinformatics Scientists,0.8941038
167,Client Strategist,Search Marketing Strategists,0.5018984
168,Peru Bureau Chief,Chief Sustainability Officers,0.48713475
169,Energy Engineer,"Energy Engineers, Except Wind and Solar",0.80268633
170,Digital Democracy Researcher,Computer and Information Research Scientists,0.5022623
171,Medical Residency Associate Program Director,Physician Assistants,0.61744857
172,Senior Product Owner,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.48941177
173,Online Sales Manager,Sales Managers,0.7703187
174,Senior Program Manager,Project Management Specialists,0.6378096
175,Solutions Architect,Architectural and Engineering Managers,0.62787044
176,Policy and Research Analyst,Management Analysts,0.63818634
177,Social Insurance Specialist,Healthcare Social Workers,0.6452
178,Certified Agent,Real Estate Sales Agents,0.63684416
179,Postal Historian,Postal Service Clerks,0.67613304
180,International Volunteer Coordinator,Personal Care Aides,0.5178102
181,Workday Functional Architect,Architectural and Engineering Managers,0.4989289
182,Policy Lab Manager,Compliance Managers,0.5787537
183,Experimentation,Survey Researchers,0.36841238
184,Medical Technologist,Surgical Technologists,0.8308743
185,Private Account Manager,"Personal Service Managers, All Other",0.541588
186,Student Worker,Labor Relations Specialists,0.5750999
187,Neuroscience Sales Specialist,Neurologists,0.666301
188,Senior Regional Sales Manager,Sales Managers,0.7779325
189,Professional Athlete,Athletes and Sports Competitors,0.7137661
190,Business Analyst Graduate Intern,Business Intelligence Analysts,0.6048444
191,Product Line Director,Producers and Directors,0.4485469
192,Accessibility Consultant,Hearing Aid Specialists,0.4632425
193,Senior Supervisor Technical Solution Consultant,Project Management Specialists,0.60541654
194,Watchman Clinical Specialist,Clinical Nurse Specialists,0.48320672
195,Artillery Officer,Artillery and Missile Officers,0.81963855
196,Risk Adjustment Analytics Manager,Financial Risk Specialists,0.5286488
197,Chief Medical Resident,General Internal Medicine Physicians,0.56234586
198,Junior Market Intelligence Analyst,Business Intelligence Analysts,0.764802
199,Broker Associate,Brokerage Clerks,0.770403
200,Senior BIM Manager,General and Operations Managers,0.5558581
201,Application Engineer,Industrial Engineers,0.66578186
202,Freelance Designer,Commercial and Industrial Designers,0.680938
203,Game Writer II,Video Game Designers,0.58979756
204,Judicial Law Clerk,Judicial Law Clerks,0.9477836
205,Doctor of Psychology,"Psychologists, All Other",0.7419479
206,Medical Consultant,Medical and Health Services Managers,0.6876034
207,Assistant Brand Manager,Marketing Managers,0.5948086
208,Wealth Strategy Associate,Investment Fund Managers,0.52499807
209,Head of Content Strategy,Media Technical Directors/Managers,0.41402048
210,Showrunner's Assistant,Anesthesiologist Assistants,0.44777322
211,Senior Software Engineer III,Software Developers,0.609347
212,Senior Project Scientist,Project Management Specialists,0.6709478
213,Special Assistant,"Teaching Assistants, Special Education",0.7278969
214,Senior Marketing Data Analyst,Market Research Analysts and Marketing Specialists,0.69083506
215,Serials Management Assistant,Administrative Services Managers,0.5047562
216,Co-Executive Vice President,Chief Executives,0.53968126
217,Technical Product Specialist,"Business Operations Specialists, All Other",0.65737295
218,Group Engineering Manager,General and Operations Managers,0.64474183
219,Senior Engineering Program Manager,Project Management Specialists,0.6372671
220,Data Manager,Clinical Data Managers,0.72133064
221,Assistant Site Director,Legal Secretaries and Administrative Assistants,0.5391947
222,Call Chief Resident,Chief Sustainability Officers,0.47427744
223,Customer Success Manager,Marketing Managers,0.63358253
224,Game Programmer,Video Game Designers,0.7657645
225,Data Product Associate,Data Warehousing Specialists,0.4819143
226,Senior Enterprise Account Manager,Administrative Services Managers,0.60101116
227,SEO Manager,Marketing Managers,0.5761925
228,Estimator,Cost Estimators,0.66671604
229,Senior Client Solutions Associate,Customer Service Representatives,0.47470105
230,Associate Scientist,"Biological Scientists, All Other",0.67655677
231,Full Stack Developer,Software Developers,0.62029374
232,Co-Founder and Managing Partner,Chief Executives,0.4172274
233,Corporate Strategy Analyst,Management Analysts,0.72430265
234,Contributing Editor,Editors,0.7824848
235,Data Engineer,Data Scientists,0.7628586
236,Systems Security Engineer,Information Security Engineers,0.84823495
237,Mental Health Therapist,Mental Health Counselors,0.8553791
238,Regional People Supervisor,Urban and Regional Planners,0.5786177
239,5th Day Department Co-Chair,Emergency Management Directors,0.37985417
240,Investor,Financial and Investment Analysts,0.5826658
241,Assistant Research Scientist,Social Science Research Assistants,0.65023345
242,Impact Investment Analyst,Financial and Investment Analysts,0.696429
243,Senior Data Integration Specialist,Data Warehousing Specialists,0.64499795
244,Filmmaker,Producers and Directors,0.67797846
245,Consumer Insights Manager,Marketing Managers,0.5498099
246,Assistant Publishing Director,Legal Secretaries and Administrative Assistants,0.52456623
247,Wealth Strategist,Financial Managers,0.52319974
248,Vehicle Dynamics Engineer,Automotive Engineers,0.75666535
249,Treasury Associate,"Financial Clerks, All Other",0.5192109
250,Haptics Firmware Engineer,Microsystems Engineers,0.4015916
251,Associate Director,Art Directors,0.57869834
252,Librarian,Library Technicians,0.72355306
253,Market Analyst,Market Research Analysts and Marketing Specialists,0.7770417
254,Post-Doctoral Research Fellow,Computer and Information Research Scientists,0.46793187
255,Post-Doctoral Fellow,Archivists,0.46121395
256,Environmental Scientist V,"Environmental Scientists and Specialists, Including Health",0.7176312
257,Emergency Veterinarian,Veterinarians,0.78803825
258,Pre Doctoral Research Fellow,Clinical Research Coordinators,0.4801303
259,Journalist,"News Analysts, Reporters, and Journalists",0.6921871
260,Executive Search and Assessment Professional,Management Analysts,0.50086665
261,Senior Engineer,Industrial Engineers,0.7069454
262,Agency MBS Trader,"Securities, Commodities, and Financial Services Sales Agents",0.5920585
263,Market Strategist,Search Marketing Strategists,0.7004409
264,Research & Planning Senior Associate,Project Management Specialists,0.5440967
265,Vice Chair,Parking Attendants,0.46070945
266,Scientific Developer,Software Developers,0.7146354
267,Zoning Analyst,Management Analysts,0.5396261
268,Flight Dynamics Engineer,Aerospace Engineers,0.73376906
269,Senior Quality Engineer,Industrial Engineers,0.6130835
270,SENIOR MANAGING ASSOCIATE,Administrative Services Managers,0.6138841
271,Litigation Case Assistant,Paralegals and Legal Assistants,0.6480111
272,Writing Tutor,Tutors,0.8271593
273,Angel Investor,Investment Fund Managers,0.4848488
274,Senior Writer,Writers and Authors,0.6272201
275,North America In-Store Lead,Customs Brokers,0.3617851
276,Intern Pastor,Clergy,0.58594024
277,Head Football Coach,Coaches and Scouts,0.5426723
278,Senior Quality Control New Product Introduction Analyst,Quality Control Analysts,0.73522085
279,Bread and Viennoiserie Baker,Bakers,0.63234496
280,High Tech Industry Analyst,Operations Research Analysts,0.66247404
281,Communications Director,Telecommunications Engineering Specialists,0.62227774
282,Head,Wellhead Pumpers,0.45221144
283,Quantum Electronics Engineer,Semiconductor Processing Technicians,0.6178271
284,Assistant Corporation Counsel,Occupational Therapy Assistants,0.61173296
285,Adjunct Clinical Instructor,Instructional Coordinators,0.62347317
286,Director of Finance & Strategy,Financial Managers,0.622427
287,Chief Bear,Chief Executives,0.41153982
288,Individual and Relationship Counselor,"Counselors, All Other",0.72425747
289,Community Organizer,"Meeting, Convention, and Event Planners",0.4633939
290,Hardware Engineering Manager,Computer Hardware Engineers,0.8118297
291,Director of Music,Music Directors and Composers,0.84861296
292,Epidemiology Surveillance Coordinator,Epidemiologists,0.6945946
293,Relationship Manager,Public Relations Managers,0.56670815
294,Faculty Member,Electricians,0.5420642
295,Senior Research Specialist,Clinical Research Coordinators,0.64017403
296,Scientific Programmer,Computer Programmers,0.7681469
297,Co-Chief Investment Officer,Investment Fund Managers,0.6413436
298,Institutional Equity Sales Associate,Real Estate Sales Agents,0.49643177
299,General Partner,"Office Clerks, General",0.47751382
300,Visiting Analyst,Management Analysts,0.57163835
301,Education Assistant,"Teaching Assistants, All Other",0.7562034
302,Noise Analyst,Audiologists,0.5529049
303,Independent consultant,Residential Advisors,0.49160475
304,Assistant Research Professor,Social Science Research Assistants,0.6176331
305,Product Design Leader,"Designers, All Other",0.6048001
306,Operations Strategy Manager,General and Operations Managers,0.77156377
307,Motion Designer,Graphic Designers,0.6290157
308,Autonomy Software Engineer,Software Developers,0.537828
309,Mechanical Controls Engineer,Mechanical Engineers,0.75096726
310,Product Design Lead,Commercial and Industrial Designers,0.4719137
311,Product Manager 2,Sales Managers,0.55079854
312,Lead Merchandiser,Parts Salespersons,0.5516689
313,Visiting Scientist,"Physical Scientists, All Other",0.5703602
314,Urban to Wild Program Manager,Urban and Regional Planners,0.46925855
315,Associate Software Engineer,Software Developers,0.6610347
316,Deputy Public Defender II,Lawyers,0.43718702
317,Legislative Research Fellow,Legislators,0.6234758
318,Learner,Tutors,0.45347092
319,Public Relations and Influencer Assistant,Public Relations Specialists,0.78841305
320,Senior Air Quality Consultant,Aviation Inspectors,0.51636285
321,Associate Sustainability Consultant,Sustainability Specialists,0.80352616
322,Assistant Office Manager,Administrative Services Managers,0.64099646
323,Graduate Fellow,Industrial Engineers,0.45948446
324,Senior Research and Policy Associate,Social Science Research Assistants,0.57093287
325,Legal Research Assistant,Paralegals and Legal Assistants,0.72163945
326,Research Staff Member,Clinical Research Coordinators,0.56465936
327,High School History Teacher,"History Teachers, Postsecondary",0.81426305
328,Founding Co-Chair,Chief Executives,0.3703154
329,Legal Assistant,Paralegals and Legal Assistants,0.7852713
330,Theater Technician,Audio and Video Technicians,0.7016598
331,Director of Special Projects,Project Management Specialists,0.6770526
332,Senior Project Leader,Project Management Specialists,0.7391122
333,English Teacher,"English Language and Literature Teachers, Postsecondary",0.675962
334,Evidence Based Advocacy Associate,Lawyers,0.4800384
335,Graduate Assistant,Medical Assistants,0.6764977
336,Ophthalmology Resident Physician,Ophthalmic Medical Technicians,0.8136134
337,Script Coverage Consultant,Insurance Claims and Policy Processing Clerks,0.45117325
338,DC Campaigns Manager,Marketing Managers,0.529427
339,Data Scientist,Data Scientists,0.95814586
340,Biomedical Research Engineer,Bioengineers and Biomedical Engineers,0.8113889
341,Graduate Student Researcher,Training and Development Specialists,0.52065927
342,Investment Banking Analyst,Financial and Investment Analysts,0.81585324
343,Digital Strategy Senior Manager,Computer and Information Systems Managers,0.6077539
344,Development Operations Manager,General and Operations Managers,0.6949608
345,Research Data Scientist,Data Scientists,0.9178071
346,Office of the CEO,Chief Executives,0.72868514
347,Senior Director of Research,Clinical Research Coordinators,0.5861585
348,Allison Fellow,Sailors and Marine Oilers,0.3134507
349,United States Program Lead,Social Science Research Assistants,0.37648082
350,Executive Coach,Chief Executives,0.6250834
351,Senior Human Resources Program Manager,Human Resources Managers,0.84002876
352,JD-PhD Student,"Chemistry Teachers, Postsecondary",0.42561644
353,Protocol Project Manager,Project Management Specialists,0.6442071
354,Pathways Operations Manager,General and Operations Managers,0.54804504
355,Human Rights Officer,Human Resources Specialists,0.63282216
356,Grant Writer,Writers and Authors,0.57608753
357,Named Teaching Fellow,"Teachers and Instructors, All Other",0.5901704
358,Honorary Lecturer,"Teachers and Instructors, All Other",0.46199685
359,Machine Learning Research Engineer,Computer Hardware Engineers,0.6162488
360,Medical Resident,Medical Assistants,0.60400784
361,Medical Student,Health Education Specialists,0.6167183
362,Corporate Paralegal,Paralegals and Legal Assistants,0.67990816
363,Reference and Instruction Associate,Instructional Coordinators,0.5968536
364,Scribe Ambassador,Correspondence Clerks,0.5079081
365,Senior Fullstack Software Engineer,Software Developers,0.56365323
366,Channel Director,Media Programming Directors,0.5843824
367,Private Equity Senior Associate,"Financial Specialists, All Other",0.46149036
368,ESG Senior Specialist,Emergency Medical Technicians,0.43405038
369,Senior Development Manager,Training and Development Managers,0.70062524
370,Marketing Operations Specialist,"Business Operations Specialists, All Other",0.792678
371,Investment Strategy Group Associate,Investment Fund Managers,0.5782776
372,Senior Communications Strategist,Public Relations Managers,0.6107521
373,Secretary,Medical Secretaries and Administrative Assistants,0.5621742
374,Lead,"Sewers, Hand",0.36124146
375,Physician Lead,"Physicians, All Other",0.58477724
376,Clinical Associate,Medical Assistants,0.64596546
377,Upward Rotational Analyst,Management Analysts,0.42794588
378,Copy Editor,Editors,0.6122686
379,Executive Administrative Assistant Office Manager,Executive Secretaries and Executive Administrative Assistants,0.7478578
380,Associate Clinical Social Worker,Healthcare Social Workers,0.7577137
381,Freelance Technical Copywriter,Technical Writers,0.5960837
382,Medical Communications Trainee,Medical Assistants,0.58745456
383,Institutional Giving Manager,Fundraising Managers,0.5597436
384,Event Specialist,"Meeting, Convention, and Event Planners",0.578081
385,Immersive Technology Artist,Craft Artists,0.64637566
386,Instructional Design Manager,Instructional Coordinators,0.67743623
387,Vice President of Talent,Talent Directors,0.61600673
388,Academic Director,Art Directors,0.5856993
389,Private Capital Consultant,Personal Financial Advisors,0.5049466
390,AAAS Science & Technology Policy Fellow,"Physical Scientists, All Other",0.49486697
391,HHMI Hanna Gray Fellow,Bakers,0.31713057
392,Content Project Manager,Information Technology Project Managers,0.73034954
393,Senior Associate Director,Executive Secretaries and Executive Administrative Assistants,0.5524062
394,Front Desk Manager,Administrative Services Managers,0.5538209
395,Business Manager,Sales Managers,0.750105
396,Senior Developer,Software Developers,0.64655924
397,Special Agent,Special Forces Officers,0.576902
398,Strategy & Operations Associate,General and Operations Managers,0.6878644
399,Clinical Research Associate II,Clinical Research Coordinators,0.67782867
400,Contractor,Farm Labor Contractors,0.7189429
401,Oil painter,Petroleum Engineers,0.6360151
402,GTM Business Manager,General and Operations Managers,0.6021445
403,Entertainment Associate,"Entertainment Attendants and Related Workers, All Other",0.6197679
404,Program Lead,Media Programming Directors,0.45011282
405,Creative Editorial Director,Art Directors,0.6197392
406,Leader,Chief Executives,0.5439913
407,Training Officer,Infantry Officers,0.70092
408,Staff Research Engineer,Industrial Engineers,0.645283
409,Fund Manager,Investment Fund Managers,0.8620545
410,Curriculum Writer,Technical Writers,0.56538516
411,Senior Robotics Electrical Engineer,Robotics Engineers,0.7706381
412,Chief Legal Officer,Chief Sustainability Officers,0.6246238
413,Safety Manager,Occupational Health and Safety Specialists,0.6586231
414,Named Postdoctoral Research Associate,Archivists,0.47336346
415,Co-Head,Wellhead Pumpers,0.37848663
416,Research,Computer and Information Research Scientists,0.5519407
417,Venue Manager,Facilities Managers,0.6272789
418,Modeling and Simulation Engineer,Manufacturing Engineers,0.5274569
419,Enterprise Sales Director,Sales Managers,0.66065705
420,Enterprise Security Architect,Information Security Engineers,0.70756125
421,Engineering Team Lead,"Engineers, All Other",0.58702534
422,Gynecologist,Obstetricians and Gynecologists,0.74277294
423,Community Lead,Social and Community Service Managers,0.3893534
424,Volunteer Crisis Worker,"Community and Social Service Specialists, All Other",0.5633873
425,Managing Partner,Compliance Managers,0.42868116
426,Digital Health Executive,Health Informatics Specialists,0.6247252
427,Principal Partner Architect,"Architecture Teachers, Postsecondary",0.54561204
428,Advanced Business Analyst,Business Intelligence Analysts,0.7388189
429,Staff Applied Scientist,Natural Sciences Managers,0.5694908
430,Senior Policy Manager,Administrative Services Managers,0.6194402
431,Equipment Design Engineer,Manufacturing Engineers,0.715418
432,Senior Paralegal,Paralegals and Legal Assistants,0.6910051
433,Technical Product Marketing Manager,Marketing Managers,0.7428645
434,Senior Associate Attorney,Lawyers,0.5424455
435,Institutional Relations Manager,Public Relations Managers,0.6932786
436,Development Partner,Training and Development Specialists,0.6293657
437,Post Doctoral Fellow,Archivists,0.44674236
438,USD Interest Rate Swaps Trader,Customs Brokers,0.32064
439,Assistant Teaching Professor,"Teaching Assistants, All Other",0.7165152
440,Commercial Underwriter,Insurance Underwriters,0.5931997
441,Client Services Associate,Customer Service Representatives,0.4975591
442,Public Relations Manager,Public Relations Managers,0.97031164
443,IT Project Manager,Information Technology Project Managers,0.8371454
444,Engineering Leadership Development Program,Logistics Engineers,0.49618375
445,Senior Education Consultant,"Education Administrators, All Other",0.6512927
446,Generative AI Developer,Software Developers,0.5422723
447,Principal Product Manager,Sales Managers,0.57441777
448,Research Project Coordinator,Project Management Specialists,0.75167495
449,Science Teacher,"Mathematical Science Teachers, Postsecondary",0.70001686
450,Legal Manager,Lawyers,0.6820086
451,Senior Hardware Research Engineer,Computer Hardware Engineers,0.77195513
452,Legislative Director,Legislators,0.66851485
453,Management Consultant,Management Analysts,0.7101816
454,Senior Engagement Manager,Lodging Managers,0.5201037
455,Engineering Specialist,Mechanical Engineers,0.78347397
456,Asia ex-Japan Sector Manager,Financial Managers,0.5043606
457,Early Career Program Manager,Training and Development Specialists,0.56716514
458,Human Resources Business Partner,Human Resources Specialists,0.68491447
459,Tax Attorney,"Tax Examiners and Collectors, and Revenue Agents",0.6334962
460,Business Operations,"Business Operations Specialists, All Other",0.74394274
461,Ophthalmologist,"Ophthalmologists, Except Pediatric",0.8371717
462,Associate Product Manager,Sales Managers,0.57041883
463,Skadden Fellow,Lawyers,0.5266658
464,Portfolio Director,Investment Fund Managers,0.59098136
465,Singer,Musicians and Singers,0.6853549
466,Corporate Strategy Consultant,Management Analysts,0.58610284
467,Innovation Consultant,Training and Development Specialists,0.537692
468,?Senior Managing Consultant,Project Management Specialists,0.6075524
469,Freelance Researcher,Training and Development Specialists,0.4936227
470,Digitization Specialist,Telecommunications Engineering Specialists,0.5390927
471,Provider Product Lead,"Buyers and Purchasing Agents, Farm Products",0.3949641
472,Data Engineering Team Manager,Clinical Data Managers,0.62678015
473,Case Evaluation and Administration Specialist,Administrative Services Managers,0.5834968
474,Writer,Writers and Authors,0.7892144
475,News Apprentice,"News Analysts, Reporters, and Journalists",0.46160764
476,Critical Care Anesthesia Fellow,Critical Care Nurses,0.65617055
477,Research & Insights Associate,Social Science Research Assistants,0.54504526
478,Staff Process Engineer,Photographic Process Workers and Processing Machine Operators,0.58994037
479,Outreach and Circulation Services Specialist,"Community and Social Service Specialists, All Other",0.570386
480,Arts Associate,Art Therapists,0.6837621
481,Faculty Assistant,Nursing Assistants,0.72488004
482,Sales Associate Manager,Sales Managers,0.8157326
483,Senior Workday Consultant,Human Resources Specialists,0.54993975
484,Worker,Helpers--Production Workers,0.6705675
485,Fifth Year Rabbinical Student,"Philosophy and Religion Teachers, Postsecondary",0.45073903
486,Portfolio Strategy Manager,Investment Fund Managers,0.7110969
487,Junior Engineer,Mechanical Engineers,0.7459036
488,Legislative Aide,Legislators,0.6846921
489,Assistant Producer,Producers and Directors,0.663352
490,PhD Candiate,Skincare Specialists,0.42651862
491,Computational Mathematician,Mathematicians,0.7809975
492,Freelance Consultant,Web Developers,0.478539
493,Department Chair,Medical Secretaries and Administrative Assistants,0.51173705
494,Open Door Facilitator,Mechanical Door Repairers,0.5411871
495,Assistant Production Manager,Industrial Production Managers,0.7118722
496,Senior Digital Product Director,Media Technical Directors/Managers,0.5249914
